	X1(t)	X2(t)	X3(t)	X4(t)	X5(t) ver.1	X5(t) ver.2
0	3.06E-16	3.53553	1.54508	-4.75528	0.325336	3.25E-01
0.001	-0.470542	3.85257	1.09072	-4.58877	-0.116032	-1.16E-01
0.002	-0.936907	4.1354	0.626666	-4.38153	-0.556371	-5.56E-01
0.003	-1.39496	4.38153	0.157054	-4.1354	-0.991771	-9.92E-01
0.004	-1.84062	4.58877	-0.313953	-3.85257	-1.41837	-1.42E+00
0.005	-2.26995	4.75528	-0.782172	-3.53553	-1.83238	-1.83E+00
0.006	-2.67913	4.87958	-1.24345	-3.18712	-2.23012	-2.23E+00
0.007	-3.06454	4.96057	-1.69369	-2.81042	-2.60807	-2.61E+00
0.008	-3.42274	4.99753	-2.1289	-2.40877	-2.96287	-2.96E+00
0.009	-3.75056	4.99013	-2.54521	-1.98574	-3.29137	-3.29E+00
0.01	-4.04508	4.93844	-2.93893	-1.54508	-3.59065	-3.59E+00
0.011	-4.30371	4.84292	-3.30656	-1.09072	-3.85807	-3.86E+00
0.012	-4.52414	4.7044	-3.64484	-0.626666	-4.09124	-4.09E+00
0.013	-4.7044	4.52414	-3.95078	-0.157054	-4.2881	-4.29E+00
0.014	-4.84292	4.30371	-4.22164	0.313953	-4.44689	-4.45E+00
0.015	-4.93844	4.04508	-4.45503	0.782172	-4.56622	-4.57E+00
0.016	-4.99013	3.75056	-4.64888	1.24345	-4.64501	-4.65E+00
0.017	-4.99753	3.42274	-4.80147	1.69369	-4.68258	-4.68E+00
0.018	-4.96057	3.06454	-4.91144	2.1289	-4.67858	-4.68E+00
0.019	-4.87958	2.67913	-4.97781	2.54521	-4.63305	-4.63E+00
0.02	-4.75528	2.26995	-5	2.93893	-4.5464	-4.55E+00
0.021	-4.58877	1.84062	-4.97781	3.30656	-4.4194	-4.42E+00
0.022	-4.38153	1.39496	-4.91144	3.64484	-4.25317	-4.25E+00
0.023	-4.1354	0.936907	-4.80147	3.95078	-4.04919	-4.05E+00
0.024	-3.85257	0.470542	-4.64888	4.22164	-3.80927	-3.81E+00
0.025	-3.53553	-6.36E-15	-4.45503	4.45503	-3.53553	-3.54E+00
0.026	-3.18712	-0.470542	-4.22164	4.64888	-3.23042	-3.23E+00
0.027	-2.81042	-0.936907	-3.95078	4.80147	-2.89663	-2.90E+00
0.028	-2.40877	-1.39496	-3.64484	4.91144	-2.53713	-2.54E+00
0.029	-1.98574	-1.84062	-3.30656	4.97781	-2.15511	-2.16E+00
0.03	-1.54508	-2.26995	-2.93893	5	-1.75396	-1.75E+00
0.031	-1.09072	-2.67913	-2.54521	4.97781	-1.33725	-1.34E+00
0.032	-0.626666	-3.06454	-2.1289	4.91144	-0.908662	-9.09E-01
0.033	-0.157054	-3.42274	-1.69369	4.80147	-0.47201	-4.72E-01
0.034	0.313953	-3.75056	-1.24345	4.64888	-0.0311698	-3.12E-02
0.035	0.782172	-4.04508	-0.782172	4.45503	0.409948	4.10E-01
0.036	1.24345	-4.30371	-0.313953	4.22164	0.847426	8.47E-01
0.037	1.69369	-4.52414	0.157054	3.95078	1.27738	1.28E+00
0.038	2.1289	-4.7044	0.626666	3.64484	1.696	1.70E+00
0.039	2.54521	-4.84292	1.09072	3.30656	2.09957	2.10E+00
0.04	2.93893	-4.93844	1.54508	2.93893	2.4845	2.48E+00
0.041	3.30656	-4.99013	1.98574	2.54521	2.84737	2.85E+00
0.042	3.64484	-4.99753	2.40877	2.1289	3.18498	3.18E+00
0.043	3.95078	-4.96057	2.81042	1.69369	3.49431	3.49E+00
0.044	4.22164	-4.87958	3.18712	1.24345	3.77263	3.77E+00
0.045	4.45503	-4.75528	3.53553	0.782172	4.01746	4.02E+00
0.046	4.64888	-4.58877	3.85257	0.313953	4.22663	4.23E+00
0.047	4.80147	-4.38153	4.1354	-0.157054	4.39828	4.40E+00
0.048	4.91144	-4.1354	4.38153	-0.626666	4.5309	4.53E+00
0.049	4.97781	-3.85257	4.58877	-1.09072	4.6233	4.62E+00
0.05	5	-3.53553	4.75528	-1.54508	4.67466	4.67E+00
0.051	4.97781	-3.18712	4.87958	-1.98574	4.68453	4.68E+00
0.052	4.91144	-2.81042	4.96057	-2.40877	4.65282	4.65E+00
0.053	4.80147	-2.40877	4.99753	-2.81042	4.57982	4.58E+00
0.054	4.64888	-1.98574	4.99013	-3.18712	4.46616	4.47E+00
0.055	4.45503	-1.54508	4.93844	-3.53553	4.31286	4.31E+00
0.056	4.22164	-1.09072	4.84292	-3.85257	4.12127	4.12E+00
0.057	3.95078	-0.626666	4.7044	-4.1354	3.89311	3.89E+00
0.058	3.64484	-0.157054	4.52414	-4.38153	3.63039	3.63E+00
0.059	3.30656	0.313953	4.30371	-4.58877	3.33545	3.34E+00
0.06	2.93893	0.782172	4.04508	-4.75528	3.0109	3.01E+00
0.061	2.54521	1.24345	3.75056	-4.87958	2.65963	2.66E+00
0.062	2.1289	1.69369	3.42274	-4.96057	2.28475	2.28E+00
0.063	1.69369	2.1289	3.06454	-4.99753	1.88959	1.89E+00
0.064	1.24345	2.54521	2.67913	-4.99013	1.47766	1.48E+00
0.065	0.782172	2.93893	2.26995	-4.93844	1.05261	1.05E+00
0.066	0.313953	3.30656	1.84062	-4.84292	0.618219	6.18E-01
0.067	-0.157054	3.64484	1.39496	-4.7044	0.178341	1.78E-01
0.068	-0.626666	3.95078	0.936907	-4.52414	-0.26312	-2.63E-01
0.069	-1.09072	4.22164	0.470542	-4.30371	-0.702245	-7.02E-01
0.07	-1.54508	4.45503	-2.07E-14	-4.04508	-1.13514	-1.14E+00
0.071	-1.98574	4.64888	-0.470542	-3.75056	-1.55795	-1.56E+00
0.072	-2.40877	4.80147	-0.936907	-3.42274	-1.96694	-1.97E+00
0.073	-2.81042	4.91144	-1.39496	-3.06454	-2.35847	-2.36E+00
0.074	-3.18712	4.97781	-1.84062	-2.67913	-2.72907	-2.73E+00
0.075	-3.53553	5	-2.26995	-2.26995	-3.07544	-3.08E+00
0.076	-3.85257	4.97781	-2.67913	-1.84062	-3.39451	-3.39E+00
0.077	-4.1354	4.91144	-3.06454	-1.39496	-3.68346	-3.68E+00
0.078	-4.38153	4.80147	-3.42274	-0.936907	-3.93971	-3.94E+00
0.079	-4.58877	4.64888	-3.75056	-0.470542	-4.16099	-4.16E+00
0.08	-4.75528	4.45503	-4.04508	2.13E-14	-4.34533	-4.35E+00
0.081	-4.87958	4.22164	-4.30371	0.470542	-4.49111	-4.49E+00
0.082	-4.96057	3.95078	-4.52414	0.936907	-4.59703	-4.60E+00
0.083	-4.99753	3.64484	-4.7044	1.39496	-4.66214	-4.66E+00
0.084	-4.99013	3.30656	-4.84292	1.84062	-4.68587	-4.69E+00
0.085	-4.93844	2.93893	-4.93844	2.26995	-4.668	-4.67E+00
0.086	-4.84292	2.54521	-4.99013	2.67913	-4.60871	-4.61E+00
0.087	-4.7044	2.1289	-4.99753	3.06454	-4.5085	-4.51E+00
0.088	-4.52414	1.69369	-4.96057	3.42274	-4.36828	-4.37E+00
0.089	-4.30371	1.24345	-4.87958	3.75056	-4.18929	-4.19E+00
0.09	-4.04508	0.782172	-4.75528	4.04508	-3.97311	-3.97E+00
0.091	-3.75056	0.313953	-4.58877	4.30371	-3.72167	-3.72E+00
0.092	-3.42274	-0.157054	-4.38153	4.52414	-3.43719	-3.44E+00
0.093	-3.06454	-0.626666	-4.1354	4.7044	-3.1222	-3.12E+00
0.094	-2.67913	-1.09072	-3.85257	4.84292	-2.7795	-2.78E+00
0.095	-2.26995	-1.54508	-3.53553	4.93844	-2.41213	-2.41E+00
0.096	-1.84062	-1.98574	-3.18712	4.99013	-2.02335	-2.02E+00
0.097	-1.39496	-2.40877	-2.81042	4.99753	-1.61661	-1.62E+00
0.098	-0.936907	-2.81042	-2.40877	4.96057	-1.19552	-1.20E+00
0.099	-0.470542	-3.18712	-1.98574	4.87958	-0.763817	-7.64E-01
0.1	3.34E-14	-3.53553	-1.54508	4.75528	-0.325336	-3.25E-01
0.101	0.470542	-3.85257	-1.09072	4.58877	0.116032	1.16E-01
0.102	0.936907	-4.1354	-0.626666	4.38153	0.556371	5.56E-01
0.103	1.39496	-4.38153	-0.157054	4.1354	0.991771	9.92E-01
0.104	1.84062	-4.58877	0.313953	3.85257	1.41837	1.42E+00
0.105	2.26995	-4.75528	0.782172	3.53553	1.83238	1.83E+00
0.106	2.67913	-4.87958	1.24345	3.18712	2.23012	2.23E+00
0.107	3.06454	-4.96057	1.69369	2.81042	2.60807	2.61E+00
0.108	3.42274	-4.99753	2.1289	2.40877	2.96287	2.96E+00
